Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
prune0,28.196444444444445,0.8310444444444445,0.19577777777777777,430058111,1818335.0
,28.18733333333333,0.8313333333333334,0.19666666666666666,344017000,1454542.111111111
,28.172000000000004,0.8305333333333333,0.2,257983777,1090783.2222222222
,28.151,0.8293888888888888,0.20322222222222225,215032444,909178.5555555555
,28.110666666666667,0.8269444444444445,0.20966666666666667,172024111,727333.7777777778
prune70,28.025111111111112,0.8214777777777778,0.22244444444444442,129099222,545841.8888888889
prune80,27.830555555555556,0.8089111111111111,0.24622222222222223,86021666,363704.1111111111
prune90,27.258666666666667,0.7752444444444444,0.2966666666666667,42985444,181741.55555555556
